Dataset B0
N: 16
Width: 10
StripArea: 22.500000
WasteFunction: 1
Lb,Ub,L,B,T
24,25,24,0.862789,0.165000
24,25,24,0.992157,0.173000
24,27,24,0.143834,0.141000
24,25,24,0.461196,0.177000
24,25,24,0.751061,0.161000
24,26,24,0.537004,0.139000
24,27,24,0.174200,0.150000
24,25,24,0.259987,0.143000
24,25,24,0.534532,0.141000
24,25,24,0.314035,0.144000
24,26,24,0.869930,0.170000
24,25,24,0.594928,0.203000
24,24,24,0.662618,0.170000
24,25,24,0.660146,0.217000
23,25,23,0.555071,0.171000
24,25,24,0.891049,0.127000
24,25,24,0.953001,0.120000
24,26,24,0.971496,0.126000
24,27,24,0.118931,0.132000
24,25,24,0.995025,0.125000
24,24,24,0.768792,0.129000
24,26,24,0.133854,0.128000
24,28,24,0.219214,0.125000
24,25,24,0.499954,0.137000
24,25,24,0.789361,0.109000
24,25,24,0.956664,0.126000
24,27,24,0.113285,0.128000
24,26,24,0.123081,0.128000
24,26,24,0.716849,0.121000
24,26,24,0.605518,0.101000
24,25,24,0.723838,0.137000
24,26,24,0.893063,0.139000
24,25,24,0.035493,0.124000
24,25,24,0.855708,0.128000
24,26,24,0.616504,0.136000
24,25,24,0.732170,0.114000
24,28,24,0.176305,0.117000
24,25,24,0.786615,0.131000
24,25,24,0.162511,0.128000
24,24,24,0.206915,0.134000
24,26,24,0.423505,0.120000
24,25,24,0.969085,0.138000
24,26,24,0.450545,0.123000
24,28,24,0.093265,0.134000
24,24,24,0.975219,0.128000
24,26,24,0.488418,0.123000
24,25,24,0.345836,0.130000
24,25,24,0.347545,0.131000
24,26,24,0.890316,0.135000
24,25,24,0.516495,0.123000
